College,Metric,Year,Percent,Funding Allocation
Mohawk College,05. Economic impact (institution-specific),2021-22,15%,"$4,180,704.00"
Mohawk College,06. Graduate employment earnings,2021-22,5%,"$1,393,568.00"
Mohawk College,07. Experiential learning,2021-22,20%,"$5,574,272.00"
Mohawk College,08. Revenue attracted from private sector sources,2021-22,5%,"$1,393,568.00"
Mohawk College,09. Apprenticeship-related (institution-specific),2021-22,,
Mohawk College,10. Skills and competencies,2021-22,,
Mohawk College,01. Graduate employment rate in a related field,2022-23,5%,"$1,791,730.00"
Mohawk College,02. Institutiol strength and focus,2022-23,15%,"$5,375,191.00"
Mohawk College,03. Graduation rate,2022-23,5%,"$1,791,730.00"
Mohawk College,04. Community and local impact of student enrolment,2022-23,15%,"$5,375,191.00"
Mohawk College,05. Economic impact (institution-specific),2022-23,15%,"$5,375,191.00"
Mohawk College,06. Graduate employment earnings,2022-23,5%,"$1,791,730.00"
Mohawk College,07. Experiential learning,2022-23,25%,"$8,958,652.00"
Mohawk College,08. Revenue attracted from private sector sources,2022-23,5%,"$1,791,730.00"
Mohawk College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$1,791,730.00"
Mohawk College,10. Skills and competencies,2022-23,5%,"$1,791,730.00"
Mohawk College,01. Graduate employment rate in a related field,2023-24,5%,"$2,189,893.00"
Mohawk College,02. Institutiol strength and focus,2023-24,15%,"$6,569,678.00"
Mohawk College,03. Graduation rate,2023-24,5%,"$2,189,893.00"
Mohawk College,04. Community and local impact of student enrolment,2023-24,15%,"$6,569,678.00"
Mohawk College,05. Economic impact (institution-specific),2023-24,20%,"$8,759,571.00"
Mohawk College,06. Graduate employment earnings,2023-24,5%,"$2,189,893.00"
Mohawk College,07. Experiential learning,2023-24,15%,"$6,569,678.00"
Mohawk College,08. Revenue attracted from private sector sources,2023-24,5%,"$2,189,893.00"
Mohawk College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$4,379,785.00"
Mohawk College,10. Skills and competencies,2023-24,5%,"$2,189,893.00"
Mohawk College,01. Graduate employment rate in a related field,2024-25,5%,"$2,388,974.00"
Mohawk College,02. Institutiol strength and focus,2024-25,16%,"$7,644,716.00"
Mohawk College,03. Graduation rate,2024-25,10%,"$4,777,948.00"
Mohawk College,04. Community and local impact of student enrolment,2024-25,15%,"$7,166,922.00"
Mohawk College,05. Economic impact (institution-specific),2024-25,22%,"$10,511,485.00"
Mohawk College,06. Graduate employment earnings,2024-25,5%,"$2,388,974.00"
Mohawk College,07. Experiential learning,2024-25,5%,"$2,388,974.00"
Mohawk College,08. Revenue attracted from private sector sources,2024-25,5%,"$2,388,974.00"
Mohawk College,09. Apprenticeship-related (institution-specific),2024-25,12%,"$5,733,537.00"
Mohawk College,10. Skills and competencies,2024-25,5%,"$2,388,974.00"
Niagara College,01. Graduate employment rate in a related field,2020–21,10%,"$1,080,224.00"
Niagara College,02. Institutiol strength and focus,2020–21,25%,"$2,700,561.00"
Niagara College,03. Graduation rate,2020–21,35%,"$3,780,785.00"
Niagara College,04. Community and local impact of student enrolment,2020–21,10%,"$1,080,224.00"
Niagara College,05. Economic impact (institution-specific),2020–21,20%,"$2,160,449.00"
Niagara College,06. Graduate employment earnings,2020–21,,
Niagara College,07. Experiential learning,2020–21,,
Niagara College,08. Revenue attracted from private sector sources,2020–21,,
Niagara College,09. Apprenticeship-related (institution-specific),2020–21,,
Niagara College,10. Skills and competencies,2020–21,,
Niagara College,01. Graduate employment rate in a related field,2021-22,5%,"$756,157.00"
Niagara College,02. Institutiol strength and focus,2021-22,15%,"$2,268,471.00"
Niagara College,03. Graduation rate,2021-22,25%,"$3,780,785.00"
Niagara College,04. Community and local impact of student enrolment,2021-22,10%,"$1,512,314.00"
Niagara College,05. Economic impact (institution-specific),2021-22,10%,"$1,512,314.00"
Niagara College,06. Graduate employment earnings,2021-22,5%,"$756,157.00"
Niagara College,07. Experiential learning,2021-22,20%,"$3,024,628.00"
Niagara College,08. Revenue attracted from private sector sources,2021-22,10%,"$1,512,314.00"
Niagara College,09. Apprenticeship-related (institution-specific),2021-22,,
Niagara College,10. Skills and competencies,2021-22,,
Niagara College,01. Graduate employment rate in a related field,2022-23,5%,"$972,202.00"
Niagara College,02. Institutiol strength and focus,2022-23,15%,"$2,916,606.00"
Niagara College,03. Graduation rate,2022-23,20%,"$3,888,808.00"
Niagara College,04. Community and local impact of student enrolment,2022-23,10%,"$1,944,404.00"
Niagara College,05. Economic impact (institution-specific),2022-23,10%,"$1,944,404.00"
Niagara College,06. Graduate employment earnings,2022-23,5%,"$972,202.00"
Niagara College,07. Experiential learning,2022-23,20%,"$3,888,808.00"
Niagara College,08. Revenue attracted from private sector sources,2022-23,5%,"$972,202.00"
Niagara College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$972,202.00"
Niagara College,10. Skills and competencies,2022-23,5%,"$972,202.00"
Niagara College,01. Graduate employment rate in a related field,2023-24,5%,"$1,188,247.00"
Niagara College,02. Institutiol strength and focus,2023-24,15%,"$3,564,741.00"
Niagara College,03. Graduation rate,2023-24,20%,"$4,752,987.00"
Niagara College,04. Community and local impact of student enrolment,2023-24,10%,"$2,376,494.00"
Niagara College,05. Economic impact (institution-specific),2023-24,10%,"$2,376,494.00"
Niagara College,06. Graduate employment earnings,2023-24,5%,"$1,188,247.00"
Niagara College,07. Experiential learning,2023-24,20%,"$4,752,987.00"
Niagara College,08. Revenue attracted from private sector sources,2023-24,5%,"$1,188,247.00"
Niagara College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$1,188,247.00"
Niagara College,10. Skills and competencies,2023-24,5%,"$1,188,247.00"
Niagara College,01. Graduate employment rate in a related field,2024-25,5%,"$1,296,269.00"
Niagara College,02. Institutiol strength and focus,2024-25,15%,"$3,888,808.00"
Niagara College,03. Graduation rate,2024-25,20%,"$5,185,077.00"
Niagara College,04. Community and local impact of student enrolment,2024-25,10%,"$2,592,539.00"
Niagara College,05. Economic impact (institution-specific),2024-25,10%,"$2,592,539.00"
Niagara College,06. Graduate employment earnings,2024-25,5%,"$1,296,269.00"
Niagara College,07. Experiential learning,2024-25,20%,"$5,185,077.00"
Niagara College,08. Revenue attracted from private sector sources,2024-25,5%,"$1,296,269.00"
Niagara College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$1,296,269.00"
Niagara College,10. Skills and competencies,2024-25,5%,"$1,296,269.00"
Northern College,01. Graduate employment rate in a related field,2020–21,10%,"$184,770.00"
Northern College,02. Institutiol strength and focus,2020–21,30%,"$554,309.00"
Northern College,03. Graduation rate,2020–21,10%,"$184,770.00"
Northern College,04. Community and local impact of student enrolment,2020–21,20%,"$369,539.00"
Northern College,05. Economic impact (institution-specific),2020–21,30%,"$554,309.00"
Northern College,06. Graduate employment earnings,2020–21,,
Northern College,07. Experiential learning,2020–21,,
Northern College,08. Revenue attracted from private sector sources,2020–21,,
Northern College,09. Apprenticeship-related (institution-specific),2020–21,,
Northern College,10. Skills and competencies,2020–21,,
Northern College,01. Graduate employment rate in a related field,2021-22,5%,"$127,310.00"
Northern College,02. Institutiol strength and focus,2021-22,20%,"$509,239.00"
Northern College,03. Graduation rate,2021-22,5%,"$127,310.00"
Northern College,04. Community and local impact of student enrolment,2021-22,10%,"$254,619.00"
Northern College,05. Economic impact (institution-specific),2021-22,25%,"$636,548.00"
Northern College,06. Graduate employment earnings,2021-22,5%,"$127,310.00"
Northern College,07. Experiential learning,2021-22,20%,"$509,239.00"
Northern College,08. Revenue attracted from private sector sources,2021-22,10%,"$254,619.00"
Northern College,09. Apprenticeship-related (institution-specific),2021-22,,
Northern College,10. Skills and competencies,2021-22,,
Northern College,01. Graduate employment rate in a related field,2022-23,5%,"$162,234.00"
Northern College,02. Institutiol strength and focus,2022-23,20%,"$648,938.00"
Northern College,03. Graduation rate,2022-23,5%,"$162,234.00"
Northern College,04. Community and local impact of student enrolment,2022-23,5%,"$162,234.00"
Northern College,05. Economic impact (institution-specific),2022-23,20%,"$648,938.00"
Northern College,06. Graduate employment earnings,2022-23,5%,"$162,234.00"
Northern College,07. Experiential learning,2022-23,15%,"$486,703.00"
Northern College,08. Revenue attracted from private sector sources,2022-23,5%,"$162,234.00"
Northern College,09. Apprenticeship-related (institution-specific),2022-23,15%,"$486,703.00"
Northern College,10. Skills and competencies,2022-23,5%,"$162,234.00"
Northern College,01. Graduate employment rate in a related field,2023-24,5%,"$197,159.00"
Northern College,02. Institutiol strength and focus,2023-24,20%,"$788,637.00"
Northern College,03. Graduation rate,2023-24,5%,"$197,159.00"
Northern College,04. Community and local impact of student enrolment,2023-24,5%,"$197,159.00"
Northern College,05. Economic impact (institution-specific),2023-24,20%,"$788,637.00"
Northern College,06. Graduate employment earnings,2023-24,5%,"$197,159.00"
Northern College,07. Experiential learning,2023-24,15%,"$591,478.00"
Northern College,08. Revenue attracted from private sector sources,2023-24,5%,"$197,159.00"
Northern College,09. Apprenticeship-related (institution-specific),2023-24,15%,"$591,478.00"
Northern College,10. Skills and competencies,2023-24,5%,"$197,159.00"
Northern College,01. Graduate employment rate in a related field,2024-25,5%,"$214,622.00"
Northern College,02. Institutiol strength and focus,2024-25,20%,"$858,487.00"
Northern College,03. Graduation rate,2024-25,5%,"$214,622.00"
Northern College,04. Community and local impact of student enrolment,2024-25,5%,"$214,622.00"
Northern College,05. Economic impact (institution-specific),2024-25,20%,"$858,487.00"
Northern College,06. Graduate employment earnings,2024-25,5%,"$214,622.00"
Northern College,07. Experiential learning,2024-25,15%,"$643,865.00"
Northern College,08. Revenue attracted from private sector sources,2024-25,5%,"$214,622.00"
Northern College,09. Apprenticeship-related (institution-specific),2024-25,15%,"$643,865.00"
Northern College,10. Skills and competencies,2024-25,5%,"$214,622.00"
St. Clair College,01. Graduate employment rate in a related field,2020–21,10%,"$1,070,281.00"
St. Clair College,02. Institutiol strength and focus,2020–21,25%,"$2,675,703.00"
St. Clair College,03. Graduation rate,2020–21,10%,"$1,070,281.00"
St. Clair College,04. Community and local impact of student enrolment,2020–21,25%,"$2,675,703.00"
St. Clair College,05. Economic impact (institution-specific),2020–21,30%,"$3,210,844.00"
St. Clair College,06. Graduate employment earnings,2020–21,,
St. Clair College,07. Experiential learning,2020–21,,
St. Clair College,08. Revenue attracted from private sector sources,2020–21,,
St. Clair College,09. Apprenticeship-related (institution-specific),2020–21,,
St. Clair College,10. Skills and competencies,2020–21,,
St. Clair College,01. Graduate employment rate in a related field,2021-22,5%,"$749,197.00"
St. Clair College,02. Institutiol strength and focus,2021-22,20%,"$2,996,788.00"
St. Clair College,03. Graduation rate,2021-22,5%,"$749,197.00"
St. Clair College,04. Community and local impact of student enrolment,2021-22,20%,"$2,996,788.00"
St. Clair College,05. Economic impact (institution-specific),2021-22,20%,"$2,996,788.00"
St. Clair College,06. Graduate employment earnings,2021-22,5%,"$749,197.00"
St. Clair College,07. Experiential learning,2021-22,5%,"$749,197.00"
St. Clair College,08. Revenue attracted from private sector sources,2021-22,20%,"$2,996,788.00"
St. Clair College,09. Apprenticeship-related (institution-specific),2021-22,,
St. Clair College,10. Skills and competencies,2021-22,,
St. Clair College,01. Graduate employment rate in a related field,2022-23,5%,"$963,253.00"
St. Clair College,02. Institutiol strength and focus,2022-23,20%,"$3,853,013.00"
St. Clair College,03. Graduation rate,2022-23,5%,"$963,253.00"
St. Clair College,04. Community and local impact of student enrolment,2022-23,15%,"$2,889,760.00"
St. Clair College,05. Economic impact (institution-specific),2022-23,15%,"$2,889,760.00"
St. Clair College,06. Graduate employment earnings,2022-23,5%,"$963,253.00"
St. Clair College,07. Experiential learning,2022-23,5%,"$963,253.00"
St. Clair College,08. Revenue attracted from private sector sources,2022-23,20%,"$3,853,013.00"
St. Clair College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$963,253.00"
St. Clair College,10. Skills and competencies,2022-23,5%,"$963,253.00"
St. Clair College,01. Graduate employment rate in a related field,2023-24,5%,"$1,177,309.00"
St. Clair College,02. Institutiol strength and focus,2023-24,20%,"$4,709,238.00"
St. Clair College,03. Graduation rate,2023-24,5%,"$1,177,309.00"
St. Clair College,04. Community and local impact of student enrolment,2023-24,15%,"$3,531,928.00"
St. Clair College,05. Economic impact (institution-specific),2023-24,15%,"$3,531,928.00"
St. Clair College,06. Graduate employment earnings,2023-24,5%,"$1,177,309.00"
St. Clair College,07. Experiential learning,2023-24,5%,"$1,177,309.00"
St. Clair College,08. Revenue attracted from private sector sources,2023-24,20%,"$4,709,238.00"
St. Clair College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$1,177,309.00"
St. Clair College,10. Skills and competencies,2023-24,5%,"$1,177,309.00"
St. Clair College,01. Graduate employment rate in a related field,2024-25,5%,"$1,284,338.00"
St. Clair College,02. Institutiol strength and focus,2024-25,20%,"$5,137,350.00"
St. Clair College,03. Graduation rate,2024-25,5%,"$1,284,338.00"
St. Clair College,04. Community and local impact of student enrolment,2024-25,15%,"$3,853,013.00"
St. Clair College,05. Economic impact (institution-specific),2024-25,15%,"$3,853,013.00"
St. Clair College,06. Graduate employment earnings,2024-25,5%,"$1,284,338.00"
St. Clair College,07. Experiential learning,2024-25,5%,"$1,284,338.00"
St. Clair College,08. Revenue attracted from private sector sources,2024-25,20%,"$5,137,350.00"
St. Clair College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$1,284,338.00"
St. Clair College,10. Skills and competencies,2024-25,5%,"$1,284,338.00"
St. Lawrence College,01. Graduate employment rate in a related field,2020–21,10%,"$934,466.00"
St. Lawrence College,02. Institutiol strength and focus,2020–21,35%,"$3,270,632.00"
St. Lawrence College,03. Graduation rate,2020–21,10%,"$934,466.00"
St. Lawrence College,04. Community and local impact of student enrolment,2020–21,10%,"$934,466.00"
St. Lawrence College,05. Economic impact (institution-specific),2020–21,35%,"$3,270,632.00"
St. Lawrence College,06. Graduate employment earnings,2020–21,,
St. Lawrence College,07. Experiential learning,2020–21,,
St. Lawrence College,08. Revenue attracted from private sector sources,2020–21,,
St. Lawrence College,09. Apprenticeship-related (institution-specific),2020–21,,
St. Lawrence College,10. Skills and competencies,2020–21,,
St. Lawrence College,01. Graduate employment rate in a related field,2021-22,5%,"$646,830.00"
St. Lawrence College,02. Institutiol strength and focus,2021-22,20%,"$2,587,319.00"
St. Lawrence College,03. Graduation rate,2021-22,5%,"$646,830.00"
St. Lawrence College,04. Community and local impact of student enrolment,2021-22,5%,"$646,830.00"
St. Lawrence College,05. Economic impact (institution-specific),2021-22,20%,"$2,587,319.00"
St. Lawrence College,06. Graduate employment earnings,2021-22,5%,"$646,830.00"
St. Lawrence College,07. Experiential learning,2021-22,20%,"$2,587,319.00"
St. Lawrence College,08. Revenue attracted from private sector sources,2021-22,20%,"$2,587,319.00"
St. Lawrence College,09. Apprenticeship-related (institution-specific),2021-22,,
St. Lawrence College,10. Skills and competencies,2021-22,,
St. Lawrence College,01. Graduate employment rate in a related field,2022-23,5%,"$826,426.00"
St. Lawrence College,02. Institutiol strength and focus,2022-23,20%,"$3,305,705.00"
St. Lawrence College,03. Graduation rate,2022-23,5%,"$826,426.00"
St. Lawrence College,04. Community and local impact of student enrolment,2022-23,5%,"$826,426.00"
St. Lawrence College,05. Economic impact (institution-specific),2022-23,20%,"$3,305,705.00"
St. Lawrence College,06. Graduate employment earnings,2022-23,5%,"$826,426.00"
St. Lawrence College,07. Experiential learning,2022-23,20%,"$3,305,705.00"
St. Lawrence College,08. Revenue attracted from private sector sources,2022-23,10%,"$1,652,853.00"
St. Lawrence College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$826,426.00"
St. Lawrence College,10. Skills and competencies,2022-23,5%,"$826,426.00"
St. Lawrence College,01. Graduate employment rate in a related field,2023-24,5%,"$1,006,023.00"
St. Lawrence College,02. Institutiol strength and focus,2023-24,20%,"$4,024,092.00"
St. Lawrence College,03. Graduation rate,2023-24,5%,"$1,006,023.00"
St. Lawrence College,04. Community and local impact of student enrolment,2023-24,5%,"$1,006,023.00"
St. Lawrence College,05. Economic impact (institution-specific),2023-24,20%,"$4,024,092.00"
St. Lawrence College,06. Graduate employment earnings,2023-24,5%,"$1,006,023.00"
St. Lawrence College,07. Experiential learning,2023-24,20%,"$4,024,092.00"
St. Lawrence College,08. Revenue attracted from private sector sources,2023-24,10%,"$2,012,046.00"
St. Lawrence College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$1,006,023.00"
St. Lawrence College,10. Skills and competencies,2023-24,5%,"$1,006,023.00"
St. Lawrence College,01. Graduate employment rate in a related field,2024-25,5%,"$1,095,821.00"
St. Lawrence College,02. Institutiol strength and focus,2024-25,20%,"$4,383,285.00"
St. Lawrence College,03. Graduation rate,2024-25,5%,"$1,095,821.00"
St. Lawrence College,04. Community and local impact of student enrolment,2024-25,5%,"$1,095,821.00"
St. Lawrence College,05. Economic impact (institution-specific),2024-25,20%,"$4,383,285.00"
St. Lawrence College,06. Graduate employment earnings,2024-25,5%,"$1,095,821.00"
St. Lawrence College,07. Experiential learning,2024-25,20%,"$4,383,285.00"
St. Lawrence College,08. Revenue attracted from private sector sources,2024-25,10%,"$2,191,642.00"
St. Lawrence College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$1,095,821.00"
St. Lawrence College,10. Skills and competencies,2024-25,5%,"$1,095,821.00"
Sault College,01. Graduate employment rate in a related field,2020–21,10%,"$496,729.00"
Sault College,02. Institutiol strength and focus,2020–21,20%,"$993,457.00"
Sault College,03. Graduation rate,2020–21,20%,"$993,457.00"
Sault College,04. Community and local impact of student enrolment,2020–21,35%,"$1,738,551.00"
Sault College,05. Economic impact (institution-specific),2020–21,15%,"$745,093.00"
Sault College,06. Graduate employment earnings,2020–21,,
Sault College,07. Experiential learning,2020–21,,
Sault College,08. Revenue attracted from private sector sources,2020–21,,
Sault College,09. Apprenticeship-related (institution-specific),2020–21,,
Sault College,10. Skills and competencies,2020–21,,
Sault College,01. Graduate employment rate in a related field,2021-22,5%,"$344,568.00"
Sault College,02. Institutiol strength and focus,2021-22,15%,"$1,033,705.00"
Sault College,03. Graduation rate,2021-22,15%,"$1,033,705.00"
Sault College,04. Community and local impact of student enrolment,2021-22,15%,"$1,033,705.00"
Sault College,05. Economic impact (institution-specific),2021-22,15%,"$1,033,705.00"
Sault College,06. Graduate employment earnings,2021-22,5%,"$344,568.00"
Sault College,07. Experiential learning,2021-22,10%,"$689,136.00"
Sault College,08. Revenue attracted from private sector sources,2021-22,20%,"$1,378,273.00"
Sault College,09. Apprenticeship-related (institution-specific),2021-22,,
Sault College,10. Skills and competencies,2021-22,,
Sault College,01. Graduate employment rate in a related field,2022-23,5%,"$440,772.00"
Sault College,02. Institutiol strength and focus,2022-23,15%,"$1,322,316.00"
Sault College,03. Graduation rate,2022-23,10%,"$881,544.00"
Sault College,04. Community and local impact of student enrolment,2022-23,10%,"$881,544.00"
Sault College,05. Economic impact (institution-specific),2022-23,10%,"$881,544.00"
Sault College,06. Graduate employment earnings,2022-23,5%,"$440,772.00"
Sault College,07. Experiential learning,2022-23,10%,"$881,544.00"
Sault College,08. Revenue attracted from private sector sources,2022-23,20%,"$1,763,088.00"
Sault College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$881,544.00"
Sault College,10. Skills and competencies,2022-23,5%,"$440,772.00"
Sault College,01. Graduate employment rate in a related field,2023-24,5%,"$536,976.00"
Sault College,02. Institutiol strength and focus,2023-24,15%,"$1,610,928.00"
Sault College,03. Graduation rate,2023-24,10%,"$1,073,952.00"
Sault College,04. Community and local impact of student enrolment,2023-24,10%,"$1,073,952.00"
Sault College,05. Economic impact (institution-specific),2023-24,10%,"$1,073,952.00"
Sault College,06. Graduate employment earnings,2023-24,5%,"$536,976.00"
Sault College,07. Experiential learning,2023-24,10%,"$1,073,952.00"
Sault College,08. Revenue attracted from private sector sources,2023-24,20%,"$2,147,904.00"
Sault College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$1,073,952.00"
Sault College,10. Skills and competencies,2023-24,5%,"$536,976.00"
Sault College,01. Graduate employment rate in a related field,2024-25,5%,"$585,078.00"
Sault College,02. Institutiol strength and focus,2024-25,15%,"$1,755,233.00"
Sault College,03. Graduation rate,2024-25,10%,"$1,170,156.00"
Sault College,04. Community and local impact of student enrolment,2024-25,10%,"$1,170,156.00"
Sault College,05. Economic impact (institution-specific),2024-25,10%,"$1,170,156.00"
Sault College,06. Graduate employment earnings,2024-25,5%,"$585,078.00"
Sault College,07. Experiential learning,2024-25,10%,"$1,170,156.00"
Sault College,08. Revenue attracted from private sector sources,2024-25,20%,"$2,340,311.00"
Sault College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$1,170,156.00"
Sault College,10. Skills and competencies,2024-25,5%,"$585,078.00"
Seneca College,01. Graduate employment rate in a related field,2020–21,10%,"$2,993,851.00"
Seneca College,02. Institutiol strength and focus,2020–21,35%,"$10,478,477.00"
Seneca College,03. Graduation rate,2020–21,35%,"$10,478,477.00"
Seneca College,04. Community and local impact of student enrolment,2020–21,10%,"$2,993,851.00"
Seneca College,05. Economic impact (institution-specific),2020–21,10%,"$2,993,851.00"
Seneca College,06. Graduate employment earnings,2020–21,,
Seneca College,07. Experiential learning,2020–21,,
Seneca College,08. Revenue attracted from private sector sources,2020–21,,
Seneca College,09. Apprenticeship-related (institution-specific),2020–21,,
Seneca College,10. Skills and competencies,2020–21,,
Seneca College,01. Graduate employment rate in a related field,2021-22,5%,"$2,095,695.00"
Seneca College,02. Institutiol strength and focus,2021-22,15%,"$6,287,086.00"
Seneca College,03. Graduation rate,2021-22,20%,"$8,382,782.00"
Seneca College,04. Community and local impact of student enrolment,2021-22,10%,"$4,191,391.00"
Seneca College,05. Economic impact (institution-specific),2021-22,5%,"$2,095,695.00"
Seneca College,06. Graduate employment earnings,2021-22,5%,"$2,095,695.00"
Seneca College,07. Experiential learning,2021-22,10%,"$4,191,391.00"
Seneca College,08. Revenue attracted from private sector sources,2021-22,30%,"$12,574,173.00"
Seneca College,09. Apprenticeship-related (institution-specific),2021-22,,
Seneca College,10. Skills and competencies,2021-22,,
Seneca College,01. Graduate employment rate in a related field,2022-23,5%,"$2,694,466.00"
Seneca College,02. Institutiol strength and focus,2022-23,15%,"$8,083,397.00"
Seneca College,03. Graduation rate,2022-23,15%,"$8,083,397.00"
Seneca College,04. Community and local impact of student enrolment,2022-23,15%,"$8,083,397.00"
Seneca College,05. Economic impact (institution-specific),2022-23,5%,"$2,694,466.00"
Seneca College,06. Graduate employment earnings,2022-23,5%,"$2,694,466.00"
Seneca College,07. Experiential learning,2022-23,10%,"$5,388,931.00"
Seneca College,08. Revenue attracted from private sector sources,2022-23,20%,"$10,777,862.00"
Seneca College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$2,694,466.00"
Seneca College,10. Skills and competencies,2022-23,5%,"$2,694,466.00"
Seneca College,01. Graduate employment rate in a related field,2023-24,5%,"$3,293,236.00"
Seneca College,02. Institutiol strength and focus,2023-24,15%,"$9,879,707.00"
Seneca College,03. Graduation rate,2023-24,15%,"$9,879,707.00"
Seneca College,04. Community and local impact of student enrolment,2023-24,15%,"$9,879,707.00"
Seneca College,05. Economic impact (institution-specific),2023-24,5%,"$3,293,236.00"
Seneca College,06. Graduate employment earnings,2023-24,5%,"$3,293,236.00"
Seneca College,07. Experiential learning,2023-24,10%,"$6,586,471.00"
Seneca College,08. Revenue attracted from private sector sources,2023-24,20%,"$13,172,943.00"
Seneca College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$3,293,236.00"
Seneca College,10. Skills and competencies,2023-24,5%,"$3,293,236.00"
Seneca College,01. Graduate employment rate in a related field,2024-25,5%,"$3,592,621.00"
Seneca College,02. Institutiol strength and focus,2024-25,15%,"$10,777,862.00"
Seneca College,03. Graduation rate,2024-25,15%,"$10,777,862.00"
Seneca College,04. Community and local impact of student enrolment,2024-25,15%,"$10,777,862.00"
Seneca College,05. Economic impact (institution-specific),2024-25,10%,"$7,185,242.00"
Seneca College,06. Graduate employment earnings,2024-25,5%,"$3,592,621.00"
Seneca College,07. Experiential learning,2024-25,10%,"$7,185,242.00"
Seneca College,08. Revenue attracted from private sector sources,2024-25,15%,"$10,777,862.00"
Seneca College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$3,592,621.00"
Seneca College,10. Skills and competencies,2024-25,5%,"$3,592,621.00"
Sheridan College,01. Graduate employment rate in a related field,2020–21,10%,"$2,079,817.00"
Sheridan College,02. Institutiol strength and focus,2020–21,27%,"$5,546,178.00"
Sheridan College,03. Graduation rate,2020–21,10%,"$2,079,817.00"
Sheridan College,04. Community and local impact of student enrolment,2020–21,27%,"$5,546,178.00"
Sheridan College,05. Economic impact (institution-specific),2020–21,27%,"$5,546,178.00"
Sheridan College,06. Graduate employment earnings,2020–21,,
Sheridan College,07. Experiential learning,2020–21,,
Sheridan College,08. Revenue attracted from private sector sources,2020–21,,
Sheridan College,09. Apprenticeship-related (institution-specific),2020–21,,
Sheridan College,10. Skills and competencies,2020–21,,
Sheridan College,01. Graduate employment rate in a related field,2021-22,13%,"$3,639,679.00"
Sheridan College,02. Institutiol strength and focus,2021-22,13%,"$3,639,679.00"
Sheridan College,03. Graduation rate,2021-22,13%,"$3,639,679.00"
Sheridan College,04. Community and local impact of student enrolment,2021-22,13%,"$3,639,679.00"
Sheridan College,05. Economic impact (institution-specific),2021-22,13%,"$3,639,679.00"
Sheridan College,06. Graduate employment earnings,2021-22,13%,"$3,639,679.00"
Sheridan College,07. Experiential learning,2021-22,13%,"$3,639,679.00"
Sheridan College,08. Revenue attracted from private sector sources,2021-22,13%,"$3,639,679.00"
Sheridan College,09. Apprenticeship-related (institution-specific),2021-22,,
Sheridan College,10. Skills and competencies,2021-22,,
Sheridan College,01. Graduate employment rate in a related field,2022-23,11%,"$3,951,651.00"
Sheridan College,02. Institutiol strength and focus,2022-23,11%,"$3,951,651.00"
Sheridan College,03. Graduation rate,2022-23,11%,"$3,951,651.00"
Sheridan College,04. Community and local impact of student enrolment,2022-23,11%,"$3,951,651.00"
Sheridan College,05. Economic impact (institution-specific),2022-23,11%,"$3,951,651.00"
Sheridan College,06. Graduate employment earnings,2022-23,11%,"$3,951,651.00"
Sheridan College,07. Experiential learning,2022-23,11%,"$3,951,651.00"
Sheridan College,08. Revenue attracted from private sector sources,2022-23,11%,"$3,951,651.00"
Sheridan College,09. Apprenticeship-related (institution-specific),2022-23,11%,"$3,951,651.00"
Sheridan College,10. Skills and competencies,2022-23,5%,"$1,871,835.00"
Sheridan College,01. Graduate employment rate in a related field,2023-24,11%,"$4,829,796.00"
Sheridan College,02. Institutiol strength and focus,2023-24,11%,"$4,829,796.00"
Sheridan College,03. Graduation rate,2023-24,11%,"$4,829,796.00"
Sheridan College,04. Community and local impact of student enrolment,2023-24,11%,"$4,829,796.00"
Sheridan College,05. Economic impact (institution-specific),2023-24,11%,"$4,829,796.00"
Sheridan College,06. Graduate employment earnings,2023-24,11%,"$4,829,796.00"
Sheridan College,07. Experiential learning,2023-24,11%,"$4,829,796.00"
Sheridan College,08. Revenue attracted from private sector sources,2023-24,11%,"$4,829,796.00"
Sheridan College,09. Apprenticeship-related (institution-specific),2023-24,11%,"$4,829,796.00"
Sheridan College,10. Skills and competencies,2023-24,5%,"$2,287,798.00"
Sheridan College,01. Graduate employment rate in a related field,2024-25,11%,"$5,268,869.00"
Sheridan College,02. Institutiol strength and focus,2024-25,11%,"$5,268,869.00"
Sheridan College,03. Graduation rate,2024-25,11%,"$5,268,869.00"
Sheridan College,04. Community and local impact of student enrolment,2024-25,11%,"$5,268,869.00"
Sheridan College,05. Economic impact (institution-specific),2024-25,11%,"$5,268,869.00"
Sheridan College,06. Graduate employment earnings,2024-25,11%,"$5,268,869.00"
Sheridan College,07. Experiential learning,2024-25,11%,"$5,268,869.00"
